epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3142,0,0,119.93,0,0,0,0,0,0,0,0,0,0,0,41.5436,0,8e-05,8e-05,8e-05
2,129.687,0,0,116.46,0,0,0,0,0,0,0,0,0,0,0,41.5592,0,0.000178218,0.000178218,0.000178218
3,185.104,0,0,111.206,0,0,0,0,0,0,0,0,0,0,0,45.2298,0,0.000274456,0.000274456,0.000274456
4,245.743,0,0,103.082,0,0,0,0,0,0,0,0,0,0,0,70.5608,0,0.000368714,0.000368714,0.000368714
5,299.84,0,0,95.905,0,0,0,0,0,0,0,0,0,0,0,39.9898,0,0.000460992,0.000460992,0.000460992
6,354.488,0,0,89.6244,0,0,0,0,0,0,0,0,0,0,0,35.938,0,0.00055129,0.00055129,0.00055129
7,408.81,0,0,86.2215,0,0,0,0,0,0,0,0,0,0,0,27.2921,0,0.000639608,0.000639608,0.000639608
8,467.698,0,0,80.1992,0,0,0,0,0,0,0,0,0,0,0,23.0587,0,0.000725946,0.000725946,0.000725946
9,527.121,0,0,77.1033,0,0,0,0,0,0,0,0,0,0,0,19.6984,0,0.000810304,0.000810304,0.000810304
10,586.22,0,0,74.6449,0,0,0,0,0,0,0,0,0,0,0,19.4207,0,0.000892682,0.000892682,0.000892682
11,649.502,0,0,71.3437,0,0,0,0,0,0,0,0,0,0,0,25.8599,0,0.00097308,0.00097308,0.00097308
12,709.871,0,0,69.9281,0,0,0,0,0,0,0,0,0,0,0,26.1181,0,0.0010515,0.0010515,0.0010515
13,765.957,0,0,67.0492,0,0,0,0,0,0,0,0,0,0,0,25.8716,0,0.00112794,0.00112794,0.00112794
14,824.439,0,0,65.8075,0,0,0,0,0,0,0,0,0,0,0,18.7624,0,0.00120239,0.00120239,0.00120239
