epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5605,1.84507,4.17576,3.50643,1.76336,0.00333,1,0.06312,0.03176,0.00333,1,0.08712,0.02797,1.50568,3.3992,4.14904,2.03575,8e-05,8e-05,8e-05
2,131.788,1.40988,3.05386,3.03312,1.52229,0.00333,1,0.3203,0.13984,0.00333,1,0.32021,0.11896,1.21009,3.1762,3.90667,1.57098,0.000178218,0.000178218,0.000178218
3,193.517,1.58785,2.88861,2.79686,1.56578,0.00333,1,0.21567,0.11291,0.002,0.6,0.03197,0.01085,1.42546,6.91565,3.99671,1.84751,0.000274456,0.000274456,0.000274456
4,255.472,1.42144,2.66984,2.3466,1.45667,0.00333,1,0.32464,0.15075,0.00267,0.8,0.1803,0.04837,1.23627,8.92886,3.8036,1.61788,0.000368714,0.000368714,0.000368714
5,312.947,1.32604,2.44501,2.19367,1.40316,0.00333,1,0.619,0.42715,0.00333,1,0.61115,0.38097,1.24384,5.97424,3.47069,1.54718,0.000460992,0.000460992,0.000460992
6,372.792,1.41903,2.41632,2.15308,1.45179,0.00472,1,0.67192,0.36692,0.00472,1,0.44801,0.28198,1.29013,4.69688,3.48708,1.59795,0.00055129,0.00055129,0.00055129
7,431.012,1.35193,2.34635,1.882,1.36314,0.00333,1,0.70889,0.31505,0.00267,0.8,0.68417,0.32837,1.62597,3.47176,3.38819,1.72742,0.000639608,0.000639608,0.000639608
8,493.426,1.36712,2.29503,2.09468,1.3525,0.31077,1,0.51254,0.23673,0.18646,0.6,0.34438,0.14013,1.65399,4.29434,3.51341,1.92681,0.000725946,0.000725946,0.000725946
9,559.219,1.38898,2.25673,1.95502,1.43064,0.45589,1,0.81786,0.37473,0.45589,1,0.81786,0.36142,1.61652,3.5049,3.52801,1.65519,0.000810304,0.000810304,0.000810304
10,626.567,1.38997,2.18186,2.05211,1.4041,0.44979,0.4,0.56096,0.35514,0.87283,0.2,0.41671,0.12144,1.62749,6.00866,3.23179,1.97039,0.000892682,0.000892682,0.000892682
11,693.007,1.45762,2.20483,2.04121,1.41699,0.31807,0.6,0.28549,0.15831,0.25711,0.4,0.45582,0.18242,1.78779,6.57465,3.35472,2.40225,0.00097308,0.00097308,0.00097308
12,761.487,1.31001,2.14574,1.88619,1.32642,0.17531,0.6,0.36299,0.21975,0.17531,0.6,0.36299,0.18168,1.79782,4.74993,3.15285,2.27029,0.0010515,0.0010515,0.0010515
13,831.147,1.40994,2.40907,1.98217,1.43324,0.74609,0.2,0.41537,0.11065,0.74609,0.2,0.41537,0.1297,1.93438,5.44841,3.08678,2.21677,0.00112794,0.00112794,0.00112794
14,898.01,1.3797,2.21978,1.92051,1.37555,0.45656,0.4,0.53811,0.26774,0.44098,0.79003,0.58865,0.2715,2.11048,3.96044,3.12197,2.18212,0.00120239,0.00120239,0.00120239
15,966.136,1.41038,2.34682,1.86706,1.38527,0.43341,0.8,0.66524,0.30069,0.61756,0.6,0.88071,0.17107,1.64012,4.89383,3.44902,2.2015,0.00127487,0.00127487,0.00127487
16,1036.31,1.43343,2.08748,1.77467,1.37813,1,0.77363,0.87833,0.40851,0.69019,0.6,0.55981,0.1665,1.78073,4.57961,3.0069,2.17375,0.00134537,0.00134537,0.00134537
17,1102.76,1.39265,2.07903,1.72979,1.35478,0.73928,0.6,0.52697,0.23027,0.95892,0.4,0.52605,0.23379,1.89091,4.57376,3.33703,2.21001,0.00141389,0.00141389,0.00141389
18,1167.67,1.36805,2.01292,1.67738,1.34545,0.40982,0.6,0.43744,0.20792,0.87265,0.4,0.47338,0.24648,2.06565,4.22822,3.1841,2.12927,0.00148043,0.00148043,0.00148043
19,1232.61,1.40319,2.29593,1.71487,1.36997,0.41154,0.56423,0.30014,0.0753,0.81949,0.2,0.34728,0.17445,2.24774,5.02809,3.37328,2.33851,0.00154498,0.00154498,0.00154498
20,1297.84,1.37391,2.22949,1.77021,1.35561,0.35123,0.43758,0.47147,0.21966,0.35123,0.43758,0.47147,0.22928,2.19421,7.23113,3.05588,2.00099,0.00160756,0.00160756,0.00160756
